,fname,labels,mids,split
0,64760,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
1,16399,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
2,16401,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
3,16402,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
4,16404,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
5,345111,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
6,64761,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
7,268259,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
8,64762,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
9,160826,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
10,40515,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
11,40516,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
12,40517,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
13,420945,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
14,420946,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
15,420947,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
16,86100,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
17,64741,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
18,40523,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
19,64743,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
20,64744,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
21,40525,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
22,51319,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
23,64746,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
24,5318,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
25,4258,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
26,4259,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
27,4260,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
28,4261,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
29,4262,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
30,4263,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
31,4264,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
32,4265,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
33,4266,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
34,4267,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
35,4268,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
36,4269,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
37,4270,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
38,4272,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
39,64757,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
40,4276,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
41,4277,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
42,4278,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
43,4279,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
44,4280,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
45,4281,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
